NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
JPN,1996,27,31,306,23,Japan,3,6,5,14,United States,0.2142857142857142,0,0,0,282,0.0169196616067678,0.0166270783847981,0.2142857142857142,7.214285714285714,3.184522597133565,0.1091342509441627,0.3529411764705882,0.515625,1.8227848101265824,0.0396433059529457,0.9186046511627908,35.1132674022403,-0.1629464285714286,22.09090909090909,-5.366690762326436,13.85362913493843,0.0,0.0032679738562091,0.8709677419354839,0.6051660516605166
KAZ,1996,14,31,96,24,Kazakhstan,3,4,4,11,United States,0.2727272727272727,0,0,0,11,0.0006599868002639,0.013064133016627,0.2727272727272727,9.181818181818182,0.9748700926965636,0.1824839339717741,0.0,0.7464788732394366,1.8227848101265824,0.0396433059529457,0.9186046511627908,13.420076713035456,0.0,10.0,-3.580431329423264,5.9258706011730204,0.0,0.0104166666666666,0.4516129032258064,0.3653136531365313
KEN,1996,5,31,52,38,Kenya,1,4,3,8,United States,0.125,0,0,0,47,0.0028199436011279,0.009501187648456,0.125,12.625,0.0871465350565782,0.2403402366863904,0.8095238095238095,0.8148148148148148,1.5949367088607596,0.0221117837578658,0.8315789473684211,4.286117162676485,-0.0215488215488215,8.76923076923077,-1.7211538461538456,5.622115384615385,0.0,0.0576923076923076,0.1612903225806451,0.0996309963099631
KOR,1996,25,31,299,10,South Korea,7,15,5,27,United States,0.2592592592592592,0,0,0,126,0.0075598488030239,0.0320665083135391,0.2592592592592592,3.740740740740741,2.7628292007340725,0.1961062287910851,0.4285714285714285,0.6522781774580336,1.9493670886075949,0.0546900357026939,0.9753086419753086,31.263855272115403,-0.055796356703457,17.647058823529413,-2.1199737875754705,11.716949040197948,0.0,0.0668896321070234,0.8064516129032258,0.5756457564575646
LAT,1996,12,31,47,61,Latvia,0,1,0,1,United States,0.0,0,0,0,7,0.0004199916001679,0.001187648456057,0.0,101.0,0.0,0.0001191058572701,0.525,0.6909090909090909,1.3670886075949369,0.0014999065631977,0.7596153846153846,-0.6330602334287044,-0.034090909090909,2.375,-38.68840082361016,-9.944020247083047,0.0,0.0212765957446808,0.3870967741935484,0.1734317343173431
LTU,1996,14,31,61,71,Lithuania,0,0,1,1,United States,0.0,0,0,0,3,0.0001799964000719,0.001187648456057,0.0,101.0,0.0,-0.0016491296130939,1.088235294117647,0.7283950617283951,1.3670886075949369,0.0014999065631977,0.7596153846153846,-0.8680706476972542,-0.0493827160493827,3.625,-45.14489687995769,-11.005969063987308,0.0,0.0327868852459016,0.4516129032258064,0.1808118081180811
MAR,1996,7,31,34,68,Morocco,0,0,2,2,United States,0.0,0,0,0,11,0.0006599868002639,0.002375296912114,0.0,50.5,-0.0007211761342643,0.0485607667251823,1.1935483870967742,0.8421052631578947,1.3670886075949369,0.0014999065631977,0.7596153846153846,1.231189757550638,-0.1356725146198829,2.272727272727273,-11.118595825426944,-1.744669656718992,0.0,0.0294117647058823,0.2258064516129032,0.1033210332103321
MAS,1996,8,31,35,58,Malaysia,0,1,1,2,United States,0.0,0,0,0,3,0.0001799964000719,0.002375296912114,0.0,50.5,-0.2717508324537855,0.0440088654816765,0.074074074074074,0.9302325581395348,1.3670886075949369,0.0014999065631977,0.7596153846153846,-1.016298984531695,-0.0697674418604652,2.1666666666666665,-12.717050691244236,-2.2984485407066044,0.0,0.4571428571428571,0.2580645161290322,0.07380073800738
MDA,1996,10,31,40,58,Moldova,0,1,1,2,United States,0.0,0,0,0,2,0.0001199976000479,0.002375296912114,0.0,50.5,0.0,0.0339983870967742,0.0,0.9,1.3670886075949369,0.0014999065631977,0.7596153846153846,1.687331311847164,0.0,2.25,-15.91774193548387,-3.2003225806451603,0.0,0.025,0.3225806451612903,0.1512915129151291
MEX,1996,19,31,97,71,Mexico,0,0,1,1,United States,0.0,0,0,0,41,0.0024599508009839,0.001187648456057,0.0,101.0,0.0,-0.0061347120178917,0.4489795918367347,0.7207207207207207,1.3670886075949369,0.0014999065631977,0.7596153846153846,-0.6187277146998339,-0.0078507078507078,3.4761904761904763,-61.28001330229465,-15.950670657355062,0.0,0.1443298969072164,0.6129032258064516,0.2103321033210332
MGL,1996,7,31,16,71,Mongolia,0,0,1,1,United States,0.0,0,0,0,14,0.0008399832003359,0.001187648456057,0.0,101.0,0.1307131714416589,0.0301222278225806,0.3653846153846153,0.6666666666666666,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.8113309799348678,-0.1228070175438597,2.25,-22.51814516129032,-5.180443548387096,0.0,0.0625,0.2258064516129032,0.059040590405904
MOZ,1996,3,31,3,71,Mozambique,0,0,1,1,United States,0.0,0,0,0,1,5.999880002399952e-05,0.001187648456057,0.0,101.0,0.046666942200471,0.2632258064516128,0.0,0.6666666666666666,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.7498798281524738,0.0,1.0,-9.344086021505376,-2.103225806451613,0.0,0.3333333333333333,0.0967741935483871,0.011070110701107
NAM,1996,4,31,8,55,Namibia,0,2,0,2,United States,0.0,0,0,0,4,0.0002399952000959,0.002375296912114,0.0,50.5,0.0018581947163305,0.2389717741935484,0.3414634146341463,0.7,1.3670886075949369,0.0014999065631977,0.7596153846153846,2.115114752612348,0.0,2.0,-6.137096774193547,-0.4411290322580641,0.0,0.125,0.1290322580645161,0.03690036900369
NED,1996,19,31,238,15,Netherlands,4,5,10,19,United States,0.2105263157894736,0,0,0,185,0.0110997780044399,0.0225653206650831,0.2105263157894736,5.315789473684211,1.7001249344383966,0.1426812894184092,-0.25,0.5586206896551724,1.8481012658227849,0.0341609866926322,0.9294117647058824,20.77618738686736,0.033328860861398,12.346153846153848,-2.565329357549472,7.872708885042851,0.0,0.0084033613445378,0.6129032258064516,0.3431734317343173
NGR,1996,9,31,65,32,Nigeria,2,1,3,6,United States,0.3333333333333333,0,0,0,14,0.0008399832003359,0.007125890736342,0.3333333333333333,16.833333333333332,0.0956328225574145,0.0977825030222052,-0.1578947368421052,0.6785714285714286,1.8481012658227849,0.0539179526521298,0.9294117647058824,4.216268393960312,0.0952380952380952,2.7777777777777777,-4.504466501240695,0.5931044940722356,0.0,0.0461538461538461,0.2903225806451613,0.1402214022140221
NOR,1996,16,31,97,30,Norway,2,2,3,7,United States,0.2857142857142857,0,0,0,122,0.0073198536029279,0.008313539192399,0.2857142857142857,14.428571428571429,0.7784231621066239,0.0902522759609021,0.3636363636363636,0.4655172413793103,1.8481012658227849,0.0539179526521298,0.9294117647058824,10.86313050957627,-0.1660617059891107,6.52,-6.858710627583259,2.506386811725022,0.0,0.1649484536082474,0.5161290322580645,0.2398523985239852
NZL,1996,15,31,95,26,New Zealand,3,2,1,6,United States,0.5,0,0,0,68,0.0040799184016319,0.007125890736342,0.5,16.833333333333332,0.6407365431593015,0.0762925337730806,-0.0714285714285714,0.6511627906976745,1.8227848101265824,0.0396433059529457,0.9186046511627908,9.539592662558109,-0.0745514950166112,6.227272727272728,-7.598132427843803,2.0796511807377684,0.0,0.0105263157894736,0.4838709677419355,0.2988929889298893
PHI,1996,6,31,12,61,Philippines,0,1,0,1,United States,0.0,0,0,0,9,0.0005399892002159,0.001187648456057,0.0,101.0,0.1345332922016564,0.0442286439665471,0.1296296296296296,0.6111111111111112,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.9834525249999474,-0.2573099415204678,1.5555555555555556,-19.271505376344088,-4.692562724014338,0.0,0.0833333333333333,0.1935483870967742,0.066420664206642
POL,1996,20,31,165,11,Poland,7,5,5,17,United States,0.4117647058823529,0,0,0,232,0.0139197216055678,0.0201900237529691,0.4117647058823529,5.941176470588236,1.8926286684786973,0.1915146716431173,-0.4210526315789473,0.7439613526570048,1.9493670886075949,0.0546900357026939,0.9753086419753086,22.86468848451488,0.0177256112121378,13.590909090909092,-3.0848254844459784,8.58818871830257,0.0,0.0242424242424242,0.6451612903225806,0.4612546125461255
POR,1996,18,31,106,47,Portugal,1,0,1,2,United States,0.5,0,0,0,15,0.0008999820003599,0.002375296912114,0.5,50.5,0.0,0.004920905155089,0.6206896551724138,0.7022900763358778,1.5949367088607596,0.0221117837578658,0.8315789473684211,1.3556960357613774,-0.1328747588289573,1.75,-28.723067559342667,-7.391920267802799,0.0,0.0094339622641509,0.5806451612903226,0.2915129151291513
PRK,1996,9,31,24,33,North Korea,2,1,2,5,United States,0.4,0,0,0,26,0.0015599688006239,0.005938242280285,0.4,20.2,0.2389897677720099,0.2543421615347018,1.0625,0.6388888888888888,1.8481012658227849,0.0539179526521298,0.9294117647058824,5.426669701520477,0.1592140921409213,5.454545454545454,-5.365860215053764,2.2084237536656883,0.0,0.0416666666666666,0.2903225806451613,0.088560885608856
PUR,1996,16,31,69,71,Puerto Rico,0,0,1,1,United States,0.0,0,0,0,6,0.0003599928001439,0.001187648456057,0.0,101.0,0.0,-0.0065464103502246,0.3148148148148148,0.6923076923076923,1.3670886075949369,0.0014999065631977,0.7596153846153846,-0.5649778743946958,-0.2185833968012185,1.375,-51.59841047218326,-14.517023141654978,0.0,0.0144927536231884,0.5161290322580645,0.2214022140221402
ROU,1996,18,31,165,14,Romania,4,7,9,20,United States,0.2,0,0,0,239,0.0143397132057358,0.0237529691211401,0.2,5.05,1.7241052189875676,0.2458894517017684,0.0,0.5669014084507042,1.8481012658227849,0.0341609866926322,0.9294117647058824,21.19924806387669,0.0146138267513578,15.65,-2.2304007820136853,10.285879765395894,0.0,0.0242424242424242,0.5806451612903226,0.4501845018450184
RSA,1996,14,31,84,27,South Africa,3,1,1,5,United States,0.6,0,0,0,58,0.0034799304013919,0.005938242280285,0.6,20.2,0.3102802733106202,0.0643216696695656,-0.3414634146341463,0.6666666666666666,1.8227848101265824,0.0396433059529457,0.9186046511627908,6.200142318897671,-0.0141843971631205,4.842105263157895,-8.611443932411673,0.8060405044870245,0.0,0.0119047619047619,0.4516129032258064,0.2287822878228782
RUS,1996,25,31,389,2,Russia,26,21,16,63,United States,0.4126984126984127,0,0,0,63,0.0037799244015119,0.0748218527315914,0.4126984126984127,1.6031746031746033,3.945985316364597,0.9596188629981424,0.0,0.5778985507246377,1.974683544303797,0.0083306285837931,0.9875,45.32508001304925,0.0,70.5,-0.3244774040859952,49.2526567787742,0.0,0.0025706940874035,0.8064516129032258,0.7822878228782287
SLO,1996,8,31,37,55,Slovenia,0,2,0,2,United States,0.0,0,0,0,4,0.0002399952000959,0.002375296912114,0.0,50.5,-0.1475176436772763,0.0457240981172977,0.0576923076923076,0.7021276595744681,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.229390241752579,-0.1489361702127659,3.25,-12.72013949433304,-1.541041848299912,0.0,0.081081081081081,0.2580645161290322,0.1254612546125461
SUI,1996,17,31,115,18,Switzerland,4,3,0,7,United States,0.5714285714285714,0,0,0,164,0.0098398032039359,0.008313539192399,0.5714285714285714,14.428571428571429,0.9898477585315884,0.0797265497218665,-0.5135135135135135,0.5930232558139535,1.8481012658227849,0.0341609866926322,0.9294117647058824,13.29430333293454,-0.1555147558819528,7.555555555555555,-7.303185734321778,3.0979331685923555,0.0,0.017391304347826,0.5483870967741935,0.3062730627306273
SVK,1996,14,31,71,43,Slovakia,1,1,1,3,United States,0.3333333333333333,0,0,0,3,0.0001799964000719,0.003562945368171,0.3333333333333333,33.666666666666664,0.0,0.0358600124143314,0.0,0.7244897959183674,1.5949367088607596,0.0221117837578658,0.8315789473684211,2.36398979708198,0.0,4.142857142857143,-14.710434650916248,-1.513130395274874,0.0,0.0140845070422535,0.4516129032258064,0.2509225092250922
SWE,1996,22,31,177,29,Sweden,2,4,2,8,United States,0.25,0,0,0,453,0.0271794564108717,0.009501187648456,0.25,12.625,2.2513718772829474,0.093482502899337,0.074074074074074,0.6008583690987125,1.8481012658227849,0.0539179526521298,0.9294117647058824,25.697554568855164,-0.1293003610600176,18.77777777777778,-8.204802259887005,10.683003766478343,0.0,0.0225988700564971,0.7096774193548387,0.3948339483394834
SYR,1996,5,31,7,49,Syria,1,0,0,1,United States,1.0,0,0,0,2,0.0001199976000479,0.001187648456057,1.0,101.0,0.1361675997118562,0.0843449637919683,0.4848484848484848,0.875,1.5949367088607596,0.0221117837578658,0.8315789473684211,0.9618951265262043,-0.125,1.0,-15.986175115207368,-4.095852534562209,0.0,0.1428571428571428,0.1612903225806451,0.029520295202952
TGA,1996,3,31,5,61,Tonga,0,1,0,1,United States,0.0,0,0,0,1,5.999880002399952e-05,0.001187648456057,0.0,101.0,0.0633333720449658,0.1571354838709677,0.0,0.8,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.631366545992996,0.0,1.0,-9.47741935483871,-2.143225806451613,0.0,0.2,0.0967741935483871,0.018450184501845
THA,1996,10,31,37,47,Thailand,1,0,1,2,United States,0.5,0,0,0,6,0.0003599928001439,0.002375296912114,0.5,50.5,0.0,0.0416633071210228,-0.1296296296296296,0.6551724137931034,1.5949367088607596,0.0221117837578658,0.8315789473684211,1.760856426735364,0.2020474137931034,3.5454545454545454,-15.913687881429816,-2.292288182610763,0.0,0.054054054054054,0.3225806451612903,0.1512915129151291
TPE,1996,14,31,74,61,Chinese Taipei,0,1,0,1,United States,0.0,0,0,0,3,0.0001799964000719,0.001187648456057,0.0,101.0,0.0,-0.001741591198871,0.2448979591836734,0.3831775700934579,1.3670886075949369,0.0014999065631977,0.7596153846153846,-0.523525372766424,-0.3010329562223316,3.2222222222222223,-45.147776809067125,-11.28877748716458,0.0,0.054054054054054,0.032258064516129,0.003690036900369
TTO,1996,6,31,12,68,Trinidad and Tobago,0,0,2,2,United States,0.0,0,0,0,9,0.0005399892002159,0.002375296912114,0.0,50.5,0.0188213789029746,0.141763440860215,1.6153846153846154,0.625,1.3670886075949369,0.0014999065631977,0.7596153846153846,1.502502056260886,-0.375,1.9,-9.413978494623656,-1.494193548387097,0.0,0.0833333333333333,0.1935483870967742,0.051660516605166
TUN,1996,9,31,51,71,Tunisia,0,0,1,1,United States,0.0,0,0,0,6,0.0003599928001439,0.001187648456057,0.0,101.0,0.1250075005658587,0.0052866763403653,1.1515151515151516,0.8653846153846154,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.3667239806977068,-0.1346153846153845,2.0,-29.01265022137888,-7.303795066413663,0.0,0.0196078431372549,0.2903225806451613,0.088560885608856
TUR,1996,9,31,53,19,Turkey,4,1,1,6,United States,0.6666666666666666,0,0,0,59,0.0035399292014159,0.007125890736342,0.6666666666666666,16.833333333333332,0.2862821733572802,0.1411249937795947,-0.1739130434782608,0.7868852459016393,1.8481012658227849,0.0341609866926322,0.9294117647058824,6.233208338642238,-0.0649666059502125,5.444444444444445,-4.483566646378575,2.4660411171975385,0.0,0.0188679245283018,0.2903225806451613,0.2029520295202952
UGA,1996,4,31,10,71,Uganda,0,0,1,1,United States,0.0,0,0,0,6,0.0003599928001439,0.001187648456057,0.0,101.0,0.1261532429987199,0.0720903225806451,1.21875,0.5833333333333334,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.5295219925278913,-0.4166666666666666,1.5,-12.80322580645161,-2.790967741935483,0.0,0.1,0.1290322580645161,0.033210332103321
UKR,1996,21,31,231,9,Ukraine,9,2,12,23,United States,0.391304347826087,0,0,0,23,0.0013799724005519,0.0273159144893111,0.391304347826087,4.391304347826087,2.2514139099290937,0.2244309091271804,0.0,0.6210826210826211,1.9493670886075949,0.0400032456994482,0.9753086419753086,26.40747658612941,0.0,18.857142857142858,-2.197768103798959,12.540669568860311,0.0,0.0043290043290043,0.6774193548387096,0.5461254612546126
USA,1996,31,31,647,1,United States,44,32,25,101,United States,0.4356435643564356,0,0,1,1995,0.119697606047879,0.1199524940617577,0.4356435643564356,1.0,5.408371161298554,1.1561241248828942,-0.5,0.5697258641239571,2.0,0.0,1.0,60.61028518145693,-0.0488027462302663,91.44827586206895,0.1561051004636785,64.06062463358738,0.0,0.0247295208655332,0.967741935483871,0.96309963099631
UZB,1996,12,31,71,58,Uzbekistan,0,1,1,2,United States,0.0,0,0,0,2,0.0001199976000479,0.002375296912114,0.0,50.5,-1.7829435739230184,0.0243945453731018,0.0,0.7894736842105263,1.3670886075949369,0.0014999065631977,0.7596153846153846,-16.05396283073361,0.0,6.285714285714286,-19.133121308496136,-1.3399363925488412,0.0,0.0140845070422535,0.3870967741935484,0.2583025830258302
ZAM,1996,2,31,8,61,Zambia,0,1,0,1,United States,0.0,0,0,0,2,0.0001199976000479,0.001187648456057,0.0,101.0,0.0387876061791154,0.1100252016129032,0.4186046511627907,0.875,1.3670886075949369,0.0014999065631977,0.7596153846153846,0.0901698412338387,-0.125,1.0,-6.326612903225799,-1.1979838709677395,0.0,0.125,0.064516129032258,0.029520295202952
ALG,2000,10,34,47,42,Algeria,1,1,3,5,Australia,0.2,0,0,0,12,0.0007199856002879,0.0054054054054054,0.2,18.6,0.0389607659135294,0.1088188693313449,0.2352941176470588,0.803921568627451,1.625,0.0279594880054388,0.8421052631578947,3.4514776385824093,-0.0684188569044639,2.5,-5.070087609511889,0.2289737171464334,0.0,0.0212765957446808,0.2941176470588235,0.14
ARG,2000,21,34,142,57,Argentina,0,2,2,4,Australia,0.0,0,0,0,54,0.0032399352012959,0.0043243243243243,0.0,23.25,0.0,0.0241708636241641,0.0555555555555555,0.6848484848484848,1.3250000000000002,0.0009993337774816,0.7476635514018691,2.725611594092279,-0.0029343205813794,3.85,-13.714478044739025,-1.4193434134217076,0.0,0.0070422535211267,0.5882352941176471,0.3233333333333333
ARM,2000,10,34,25,71,Armenia,0,0,1,1,Australia,0.0,0,0,0,3,0.0001799964000719,0.001081081081081,0.0,93.0,-0.2274069209063213,0.0159774117647058,0.5777777777777777,0.9230769230769232,1.3250000000000002,0.0009993337774816,0.7476635514018691,-2.552504826796326,-0.0242914979757083,3.0,-27.01882352941176,-6.005647058823529,0.0,0.04,0.2941176470588235,0.0866666666666666
AUS,2000,34,34,617,4,Australia,16,25,17,58,Australia,0.2758620689655172,0,0,1,341,0.0204595908081838,0.0627027027027027,0.2758620689655172,1.603448275862069,3.895973085634238,0.2275830645468066,-0.4285714285714285,0.5329949238578681,2.0,0.0481012658227848,1.0,43.04294418435558,-0.0251868943239501,20.51851851851852,-0.5094450343709831,14.210129452651667,0.0,0.0016207455429497,0.9705882352941176,0.8833333333333333
AUT,2000,17,34,92,32,Austria,2,1,0,3,Australia,0.6666666666666666,0,0,0,82,0.0049199016019679,0.0032432432432432,0.6666666666666666,31.0,0.0,0.0265703613494256,-0.4385964912280701,0.6052631578947368,1.8,0.0399598985291855,0.9090909090909092,2.624832733818009,-0.1664759725400457,3.769230769230769,-14.967391304347826,-1.851755852842809,0.0,0.0108695652173913,0.5,0.2266666666666666
AZE,2000,8,34,31,34,Azerbaijan,2,0,1,3,Australia,0.6666666666666666,0,0,0,4,0.0002399952000959,0.0032432432432432,0.6666666666666666,31.0,0.1845898424099367,0.1239811470894289,-0.4426229508196721,0.78125,1.8,0.0399598985291855,0.9090909090909092,4.7214583802659,-0.0520833333333333,7.0,-6.962049335863377,2.8113851992409864,0.0,0.032258064516129,0.2352941176470588,0.1066666666666666
BAH,2000,3,34,25,34,Bahamas,2,0,1,3,Australia,0.6666666666666666,0,0,0,7,0.0004199916001679,0.0032432432432432,0.6666666666666666,31.0,-0.0027590213132794,0.1239692549019607,-0.4426229508196721,0.6153846153846154,1.8,0.0399598985291855,0.9090909090909092,2.8599022262631357,-0.0235042735042734,1.5555555555555556,-2.52705882352941,0.3307712418300659,0.0,0.08,0.088235294117647,0.06
BAR,2000,6,34,18,71,Barbados,0,0,1,1,Australia,0.0,0,0,0,1,5.999880002399952e-05,0.001081081081081,0.0,93.0,0.1227624454883599,0.0324782135076252,0.0,0.6428571428571429,1.3250000000000002,0.0009993337774816,0.7476635514018691,1.2072368782298537,0.0,1.0,-16.1797385620915,-4.1539215686274495,0.0,0.0555555555555555,0.1764705882352941,0.07
BEL,2000,16,34,68,55,Belgium,0,2,3,5,Australia,0.0,0,0,0,138,0.0082798344033119,0.0054054054054054,0.0,18.6,0.5178822135066126,0.0863040657439445,0.7741935483870968,0.425531914893617,1.3250000000000002,0.0009993337774816,0.7476635514018691,7.929486773072543,-0.2287890727607039,6.0,-8.208823529411763,1.7373529411764703,0.0,0.0441176470588235,0.4705882352941176,0.2133333333333333
BLR,2000,20,34,139,23,Belarus,3,3,11,17,Australia,0.1764705882352941,0,0,0,32,0.0019199616007679,0.0183783783783783,0.1764705882352941,5.470588235294118,1.6555470811679525,0.2243971052527423,-0.3783783783783784,0.5541125541125541,1.85,0.0434278114107503,0.9302325581395348,20.59840316098646,-0.0057330057330057,13.0,-2.507455627193747,8.347763311841875,0.0,0.0071942446043165,0.5882352941176471,0.3633333333333333
BRA,2000,24,34,196,53,Brazil,0,6,6,12,Australia,0.0,0,0,0,66,0.0039599208015839,0.0129729729729729,0.0,7.75,1.5244639622992326,0.0845140137687727,1.12,0.5635593220338984,1.3250000000000002,0.0009993337774816,0.7476635514018691,18.217778026559813,-0.1615402795597271,7.45,-4.703481392557023,3.803955582232893,0.0,0.0612244897959183,0.6764705882352942,0.3133333333333333
BUL,2000,16,34,91,16,Bulgaria,5,6,2,13,Australia,0.3846153846153846,0,0,0,195,0.0116997660046799,0.014054054054054,0.3846153846153846,7.153846153846154,1.2132625395249397,0.2634112106381012,-0.2727272727272727,0.6866666666666666,1.975,0.0962025316455696,0.9876543209876544,16.197924547394074,-0.0205156537753222,13.235294117647058,-2.753070458952812,8.438784744667096,0.0,0.0109890109890109,0.4705882352941176,0.2833333333333333
CAN,2000,29,34,294,24,Canada,3,3,8,14,Australia,0.2142857142857142,0,0,0,231,0.0138597228055438,0.0151351351351351,0.2142857142857142,6.642857142857143,2.563040971277283,0.0815520652705526,0.1428571428571428,0.4691943127962085,1.85,0.0434278114107503,0.9302325581395348,28.972966012959525,-0.0357076479881052,12.22222222222222,-4.765406162464986,7.125933706816058,0.0,0.010204081632653,0.8235294117647058,0.5766666666666667
CHI,2000,14,34,50,71,Chile,0,0,1,1,Australia,0.0,0,0,0,9,0.0005399892002159,0.001081081081081,0.0,93.0,0.0,-9.241176470588196e-05,0.9722222222222222,0.8620689655172413,1.3250000000000002,0.0009993337774816,0.7476635514018691,-0.4972596034050314,-0.0944527736131934,1.875,-37.86235294117647,-10.04620588235294,0.0,0.34,0.4117647058823529,0.0933333333333333
CHN,2000,28,34,266,3,China,28,16,14,58,Australia,0.4827586206896552,0,0,0,222,0.0133197336053278,0.0627027027027027,0.4827586206896552,1.603448275862069,3.994415159055406,1.1900101226085995,-0.25,0.3840579710144927,2.0,0.0368670886075949,1.0,46.52548066154407,-0.0246178280722653,63.8,-0.2789122908691608,44.57632631273925,0.0,0.0037593984962406,0.7941176470588235,0.53
CMR,2000,4,34,34,50,Cameroon,1,0,0,1,Australia,1.0,0,0,0,3,0.0001799964000719,0.001081081081081,1.0,93.0,0.097563368735161,0.0219463667820068,0.1627906976744186,0.717948717948718,1.625,0.0279594880054388,0.8421052631578947,0.8620948363880974,-0.1749084249084249,1.0,-10.794117647058822,-2.538235294117647,0.0434782608695652,0.5294117647058824,0.1176470588235294,0.0466666666666666
COL,2000,13,34,44,50,Colombia,1,0,0,1,Australia,1.0,0,0,0,7,0.0004199916001679,0.001081081081081,1.0,93.0,0.0,0.0040088113757899,-0.074074074074074,0.5555555555555556,1.625,0.0279594880054388,0.8421052631578947,-0.0585050794392648,-0.395264116575592,3.3,-35.15374331550802,-8.236122994652405,0.0,0.0227272727272727,0.3823529411764705,0.15
CRC,2000,5,34,7,69,Costa Rica,0,0,2,2,Australia,0.0,0,0,0,4,0.0002399952000959,0.0021621621621621,0.0,46.5,-0.0124640141034429,0.2574769907963185,0.4081632653061224,0.6666666666666666,1.3250000000000002,0.0009993337774816,0.7476635514018691,2.154700525389301,0.2051282051282051,1.3333333333333333,-6.405462184873946,-0.9883053221288506,0.0,0.1428571428571428,0.1470588235294117,0.03
CRO,2000,12,34,88,49,Croatia,1,0,1,2,Australia,0.5,0,0,0,7,0.0004199916001679,0.0021621621621621,0.5,46.5,-0.5832094355662039,0.0197481161886241,0.0888888888888888,0.7037037037037037,1.625,0.0279594880054388,0.8421052631578947,-4.022417412480999,-0.1595441595441595,5.0,-16.03609625668449,-1.3108288770053471,0.0,0.034090909090909,0.3529411764705882,0.1766666666666666
CUB,2000,24,34,229,9,Cuba,11,11,7,29,Australia,0.3793103448275862,0,0,0,137,0.0082198356032879,0.0313513513513513,0.3793103448275862,3.206896551724138,2.2014154521840275,0.248075351767869,0.125,0.6605166051660517,1.975,0.0664556962025316,0.9876543209876544,25.970159603886454,-0.0024047431485549,14.3125,-1.4311717760436504,9.589398467186903,0.0,0.0087336244541484,0.7058823529411765,0.45
CZE,2000,20,34,119,28,Czech Republic,2,3,3,8,Australia,0.25,0,0,0,19,0.0011399772004559,0.0086486486486486,0.25,11.625,1.2196697248966215,0.0957658357460631,0.6470588235294118,0.6851851851851852,1.8,0.0399598985291855,0.9090909090909092,15.258174004060628,0.0875520490905106,8.714285714285714,-6.182773109243698,4.245168067226889,0.0,0.0168067226890756,0.5882352941176471,0.3133333333333333
DEN,2000,16,34,97,30,Denmark,2,3,1,6,Australia,0.3333333333333333,0,0,0,157,0.0094198116037679,0.0064864864864864,0.3333333333333333,15.5,0.7262147605189636,0.0810092652216587,0.5789473684210527,0.5483870967741935,1.8,0.0399598985291855,0.9090909090909092,10.188847568322094,0.1001112347052279,7.321428571428571,-6.761673741661612,3.096497877501516,0.0,0.0206185567010309,0.4705882352941176,0.1833333333333333
ESP,2000,27,34,316,25,Spain,3,3,5,11,Australia,0.2727272727272727,0,0,0,76,0.0045599088018239,0.0118918918918918,0.2727272727272727,8.454545454545455,1.888484291705192,0.049376449145593,0.9230769230769232,0.6566125290023201,1.85,0.0434278114107503,0.9302325581395348,21.793033391709294,0.0420291956689867,8.5,-5.884975969674406,4.184507209097678,0.0,0.0063291139240506,0.7941176470588235,0.55
EST,2000,11,34,33,47,Estonia,1,0,2,3,Australia,0.3333333333333333,0,0,0,26,0.0015599688006239,0.0032432432432432,0.3333333333333333,31.0,-0.1215510276031765,0.0863228001944579,0.3823529411764705,0.926829268292683,1.625,0.0279594880054388,0.8421052631578947,1.2414640355094273,0.0572640509013786,3.4,-9.614973262032086,-0.5044919786096256,0.0,0.1515151515151515,0.3235294117647059,0.0966666666666666
ETH,2000,2,34,26,20,Ethiopia,4,1,3,8,Australia,0.5,0,0,0,24,0.0014399712005759,0.0086486486486486,0.5,11.625,0.0146486857711892,0.4008579881656804,-0.4117647058823529,0.5555555555555556,1.925,0.0623466407010709,0.963855421686747,4.534857187016702,0.0292397660818714,4.461538461538462,-0.3173076923076922,3.0278846153846155,0.0344827586206896,0.1153846153846153,0.0588235294117647,0.0366666666666666
FIN,2000,16,34,70,31,Finland,2,1,1,4,Australia,0.5,0,0,0,294,0.0176396472070558,0.0043243243243243,0.5,23.25,0.9656172049004476,0.0879312364945977,-0.225,0.5795454545454546,1.8,0.0399598985291855,0.9090909090909092,12.605573709723272,0.0081168831168831,12.16,-10.41344537815126,5.387966386554622,0.0,0.0142857142857142,0.4705882352941176,0.2133333333333333
FRA,2000,28,34,336,6,France,13,14,11,38,Australia,0.3421052631578947,0,0,0,567,0.0340193196136077,0.041081081081081,0.3421052631578947,2.4473684210526314,3.231299538118132,0.323457824940321,0.2,0.6297872340425532,1.95,0.028876582278481,0.975609756097561,36.40475039287106,0.0050631722323987,27.03448275862069,-1.0788552263010465,18.60048136314417,0.0,0.0059523809523809,0.8235294117647058,0.65
